ParkName,ParkCode,LocationID,PeriodID,CommonName,ScientificName,CoverClass,MidRange
Pea Ridge National Military Park,PERI,PERI_InvPla_80,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_92,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,4,75
Pea Ridge National Military Park,PERI,PERI_InvPla_92,PERIInvPla2021Aug16,winged sumac,Rhus copallinum,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_93,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_93,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_98,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_98,PERIInvPla2021Aug16,sericea lespedeza,Lespedeza cuneata,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_98,PERIInvPla2021Aug16,Japanese honeysuckle,Lonicera japonica,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_98,PERIInvPla2021Aug16,Kentucky bluegrass,Poa pratensis,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_98,PERIInvPla2021Aug16,multiflora rose,Rosa multiflora,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_98,PERIInvPla2021Aug16,black locust,Robinia pseudoacacia,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_98,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_98,PERIInvPla2021Aug16,tall fescue,Schedonorus arundinaceus,5,300
Pea Ridge National Military Park,PERI,PERI_InvPla_98,PERIInvPla2021Aug16,Johnsongrass,Sorghum halepense,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_99,PERIInvPla2021Aug16,bald brome. spiked brome,Bromus racemosus,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_99,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,5,300
Pea Ridge National Military Park,PERI,PERI_InvPla_99,PERIInvPla2021Aug16,sericea lespedeza,Lespedeza cuneata,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_99,PERIInvPla2021Aug16,Bermudagrass,Cynodon dactylon,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_99,PERIInvPla2021Aug16,Queen Anne's lace,Daucus carota,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_99,PERIInvPla2021Aug16,white mulberry,Morus alba,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_99,PERIInvPla2021Aug16,Japanese honeysuckle,Lonicera japonica,3,30
