InpID,Easting,Northing,Acres,LocationID,Lon_DD,Lat_DD
129,644766.3125,4772621.25,9.90090021641,EFMO_InvPla_129,-91.221257,43.092491
130,644964.387422514,4772594.47214095,9.87976939327,EFMO_InvPla_130,-91.218832,43.092212
131,645163.853084804,4772570.95598433,9.51044253170,EFMO_InvPla_131,-91.216388,43.091962
132,645360.860768217,4772540.50501439,9.87502947605,EFMO_InvPla_132,-91.213977,43.091650
133,645559.014231783,4772513.49498561,9.87512967809,EFMO_InvPla_133,-91.211550,43.091369
134,645757.1875,4772486.5,9.87637081800,EFMO_InvPla_134,-91.209124,43.091088
135,645955.375,4772459.5,9.87637081796,EFMO_InvPla_135,-91.206697,43.090807
136,646153.5625,4772432.5,9.87642778245,EFMO_InvPla_136,-91.204270,43.090526
137,646351.775899604,4772405.61893444,9.88574228630,EFMO_InvPla_137,-91.201843,43.090245
138,646549.889233476,4772378.74497224,9.89955495478,EFMO_InvPla_138,-91.199417,43.089965
139,646748.0625,4772351.75,9.90094370677,EFMO_InvPla_139,-91.196991,43.089684
140,646946.047858941,4772324.55871824,9.87785504012,EFMO_InvPla_140,-91.194566,43.089401
141,647145.59449476,4772299.7096162,8.25247432205,EFMO_InvPla_141,-91.192830,43.088870
146,643611.871520985,4772583.15350848,3.77778017131,EFMO_InvPla_146,-91.235445,43.092367
147,643748.5,4772558,9.87637081788,EFMO_InvPla_147,-91.233774,43.092115
148,643946.673268217,4772531.00501439,9.87512967806,EFMO_InvPla_148,-91.231347,43.091834
149,644144.84375,4772504,9.87679439706,EFMO_InvPla_149,-91.228920,43.091554
150,644328.631272206,4772489.16600413,7.94855644387,EFMO_InvPla_150,-91.226667,43.091385
151,645208.463443899,4772367.69162092,2.68690763466,EFMO_InvPla_151,-91.215894,43.090124
152,645333.889233476,4772342.24497224,9.89949799021,EFMO_InvPla_152,-91.214360,43.089871
153,645532.022352275,4772315.38608217,9.88710119629,EFMO_InvPla_153,-91.211934,43.089591
154,645730.25,4772288.5,9.87641415021,EFMO_InvPla_154,-91.209506,43.089311
155,645928.423268217,4772261.50501439,9.87512970977,EFMO_InvPla_155,-91.207080,43.089030
156,646126.59375,4772234.5,9.87678073324,EFMO_InvPla_156,-91.204653,43.088749
157,646324.764231783,4772207.49498561,9.87507274516,EFMO_InvPla_157,-91.202227,43.088467
158,646522.9375,4772180.5,9.87637081793,EFMO_InvPla_158,-91.199800,43.088186
159,646721.125,4772153.5,9.87642775093,EFMO_InvPla_159,-91.197374,43.087905
160,646919.3125,4772126.5,9.87648471601,EFMO_InvPla_160,-91.194947,43.087623
161,647116.152263817,4772098.45652913,9.74491750412,EFMO_InvPla_161,-91.192537,43.087333
162,647314.688689985,4772058.32997192,8.42617227733,EFMO_InvPla_162,-91.190108,43.086921
163,647514.06518317,4772045.30884407,9.86207674094,EFMO_InvPla_163,-91.187665,43.086777
164,647711.23787245,4772018.08942806,9.82196842807,EFMO_InvPla_164,-91.185251,43.086494
